title,vote_average,vote_count,original_language
Green Lantern: Emerald Knights,6.7,416,en
Annihilation,6.4,7335,en
The 5th Wave,5.9,5185,en
Tomorrowland,6.2,6258,en
Rise of the Mummy,5.3,35,en
Killer Klowns from Outer Space,6.4,713,en
Home,6.8,3433,en
Astro Boy,6.3,1279,en
The Fifth Element,7.5,9151,en
The Call,7.6,546,ko
Allegiant,6.1,5872,en
Solo: A Star Wars Story,6.6,7256,en
The Butterfly Effect,7.5,6281,en
Monsters vs Aliens,6.2,3916,en
Planet of the Apes,7.6,2740,en
Justice League: The Flashpoint Paradox,7.9,1502,en
Breach,4.3,535,en
Guardians of the Galaxy Vol. 3,0,0,en
Max Steel,5.7,656,en
Spider-Man: Across the Spider-Verse,0,0,en
Fullmetal Alchemist,5.3,454,ja
Justice League Dark: Apokolips War,8.3,1214,en
The Mist,6.9,4104,en
After Earth,5.2,5861,en
Warriors of Future,5.6,7,zh
Neon Genesis Evangelion: The End of Evangelion,8.4,1132,ja
28 Days Later,7.2,5504,en
Secret Headquarters,6.4,42,en
Thunder Force,5.6,998,en
Bloodshot,6.8,4378,en
Transformers: Beginnings,6.9,220,en
Crystal Skulls,5,22,en
Dune,6.2,2281,en
Valerian and the City of a Thousand Planets,6.6,6493,en
Hello World,7.3,220,ja
I Am Number Four,6.2,4083,en
Altered Carbon: Resleeved,6.5,218,ja
2001: A Space Odyssey,8.1,9581,en
Rogue One: A Star Wars Story,7.5,13421,en
Watchmen,7.3,7818,en
Akira,8,3221,ja
The Thing,6.2,2375,en
Fantastic Four,5.8,8215,en
Source Code,7.3,7067,en
Alien Resurrection,6.1,3941,en
Jurassic Park,7.9,13898,en
Intersect,5.7,48,en
City Under Siege,4.9,42,cn
Bumblebee,6.7,5111,en
Men in Black II,6.3,8563,en
The Fourth Kind,6.3,1375,en
Species,5.9,1280,en
Contact,7.4,3642,en
The Matrix Revolutions,6.7,8329,en
Men in Black,7.2,11894,en
Space Pirate Captain Harlock,6.6,895,ja
Treasure Planet,7.5,3439,en
Oblivion,6.6,9422,en
Mortal Engines,6.2,3914,en
Left Behind,4.2,1117,en
In for a Murder,6.2,138,pl
Atlantis: The Lost Empire,7,3989,en
Cencoroll Connect,7,11,ja
Elysium,6.5,7657,en
The Colony,5.5,126,en
Star Trek: Nemesis,6.3,1138,en
Black Box,6.5,404,en
Guardians,4.9,630,ru
Looper,6.9,9025,en
A Clockwork Orange,8.2,10917,en
Planet of the Apes,5.7,3367,en
The Death of the Incredible Hulk,5,58,en
Pokémon: The Movie 2000,6.6,693,ja
The Osiris Child,5.4,384,en
Ghost Lab,6.5,102,th
Parasyte: Part 1,7.1,199,ja
The Host,7,2205,ko
Parasyte: Part 2,7,132,ja
The Day After Tomorrow,6.5,6789,en
Superman/Shazam!: The Return of Black Adam,7.3,623,en
The Prestige,8.2,13365,en
The Thing,8,5515,en
Pandemic,5,272,en
Ghost in the Shell,6,7141,en
Independence Daysaster,4.7,67,en
The Wandering Earth,6.5,601,zh
Cranston Academy: Monster Zone,6.1,89,en
Back to the Future Part II,7.7,10880,en
Psycho-Pass 3: First Inspector,7.6,62,ja
Lilo & Stitch 2: Stitch Has a Glitch,6.6,1175,en
Demolition Man,6.7,3002,en
Death Race,6.2,3158,en
The Watch,5.5,1990,en
Hulk vs. Thor,6.7,184,en
Kingsglaive: Final Fantasy XV,6.8,576,ja
Justice League: Doom,7.4,707,en
The Dark Tower,5.7,4384,en
Men in Black: International,6,4056,en
Gayniggers from Outer Space,4.3,60,en
Time Trap,6.1,821,en
Hellboy II: The Golden Army,6.7,4431,en
Life,6.4,6298,en
RoboCop,7.3,4078,en
Predestination,7.4,5410,en
Psycho Goreman,6.1,234,en
The Empire of Corpses,6,72,ja
Assassin's Creed,5.4,6932,en
Sputnik,6.5,526,ru
Spectral,6.4,1411,en
Resident Evil: Vendetta,6.9,773,ja
Superman,7.1,3111,en
I Am a Hero,7.3,289,ja
Overlord,6.7,2388,en
Robots,6.4,3883,en
Evangelion: 1.0 You Are (Not) Alone,7.7,692,ja
Project Gemini,5.2,67,en
The Platform,7,5617,es
Sky Sharks,5.1,65,en
Freaks,6.8,906,en
Blade Runner,7.9,11732,en
Down,6.7,149,en
Mad Max 2,7.4,2951,en
Hardcore Henry,6.4,1987,en
Tremors,6.8,2617,en
Transformers: Revenge of the Fallen,6.1,7257,en
Steven Universe: The Movie,8.3,685,en
Zathura: A Space Adventure,6.4,2728,en
Underwater,6.3,2517,en
Brightburn,6.1,2538,en
Jason X,4.8,1054,en
Jurassic World Dominion: The Prologue,6.1,7,en
Evangelion: 2.0 You Can (Not) Advance,7.9,641,ja
10 Cloverfield Lane,7,6755,en
Invasion,6.9,653,ru
Starship Troopers,7,3919,en
Total Recall,7.3,4768,en
Monster Trucks,6.1,709,en
Project Power,6.5,2388,en
Tremors: A Cold Day in Hell,6,310,en
Star Trek Into Darkness,7.3,8141,en
G.I. Joe: Retaliation,5.6,4944,en
Signs,6.7,4683,en
Star Wars: Episode III - Revenge of the Sith,7.4,11739,en
Kill Command,5.5,487,en
Superman/Batman: Public Enemies,7,517,en
Venom 3,0,0,en
Ex Machina,7.6,11505,en
Fire in the Sky,6.6,428,en
Anacondas: Trail of Blood,4.8,230,en
Contagion,6.6,5240,en
Crimes of the Future,6.4,383,en
Back to the Future Part III,7.5,8870,en
A-X-L,6.3,1034,en
Star Wars: Episode I - The Phantom Menace,6.5,12500,en
The Girl with All the Gifts,6.6,1646,en
Come True,6.1,169,en
Death Race: Beyond Anarchy,6.4,248,en
Face/Off,7,4359,en
Doom,5.1,1832,en
Star Trek Beyond,6.8,5837,en
The Book of Eli,6.8,5211,en
Resident Evil,6.6,5346,en
Turbo: A Power Rangers Movie,5.7,223,en
Code 8,6.2,1459,en
E.T. the Extra-Terrestrial,7.5,9684,en
Just a Breath Away,6.3,664,fr
Maggie Simpson in The Force Awakens from Its Nap,6.8,139,en
Proximity,6.2,154,en
28 Weeks Later,6.6,3488,en
Gantz,6.6,236,ja
Next Avengers: Heroes of Tomorrow,6.9,204,en
Batman & Robin,4.3,4262,en
Shin Godzilla,7.1,858,ja
The Day,5.2,209,en
Godzilla: The Planet Eater,6.4,229,ja
Jumper,6.1,4917,en
Mutation on Mars,6.8,42,zh
Star Wars: Episode II - Attack of the Clones,6.5,11315,en
"Batman: The Dark Knight Returns, Part 1",7.8,1272,en
Bermuda Tentacles,4,61,en
Green Lantern: First Flight,6.9,345,en
What Lies Below,5.3,122,en
Teenage Mutant Ninja Turtles,6.6,1391,en
Her,7.9,12372,en
TEKKEN: Blood Vengeance,6.8,174,ja
Elektra,5,2025,en
Justice League: Throne of Atlantis,7,749,en
Evangelion: 3.0 You Can (Not) Redo,7.3,605,ja
Hulk vs. Wolverine,7.1,195,en
WifeLike,3.8,9,en
Passengers,6.9,11636,en
Moonshot,7.7,49,en
Pokémon 4Ever,6.4,329,ja
Idiocracy,6.3,2216,en
Batman: Under the Red Hood,7.8,1320,en
Species II,5.1,530,en
Alien³,6.4,4572,en
Suicide Squad: Hell to Pay,7.1,483,en
Ringu 2,5.7,319,ja
Rick and Morty: Samurai & Shogun Part 2,5,2,ja
Ghost in the Shell,7.9,2627,ja
Godzilla,5.6,3227,en
Pokémon: Lucario and the Mystery of Mew,6.9,238,ja
Okja,7.4,3703,en
Superman Returns,5.7,3535,en
Twelve Monkeys,7.6,7040,en
Space Jam,6.8,5200,en
Fullmetal Alchemist the Movie: The Sacred Star of Milos,6.9,188,ja
Firestarter,6,338,en
The Darkest Minds,7,2319,en
Ender's Game,6.6,5068,en
Tremors 5: Bloodlines,5.5,320,en
Minions: Puppy,7.3,180,en
Waterworld,6.2,3015,en
The Animatrix,7.2,1264,en
Neon Genesis Evangelion: Death and Rebirth,7.5,308,ja
Critters,6.4,731,en
Bleach the Movie: Memories of Nobody,6.9,150,ja
Outlander,6.4,1028,en
Upgrade,7.5,3494,en
Leprechaun 4: In Space,4.6,161,en
Nemesis,4.3,2,de
Universal Soldier,6.3,1307,en
Superman: Man of Tomorrow,7.2,358,en
RoboCop,5.8,4770,en
The Irregular at Magic High School: The Girl Who Summons the Stars,6.2,40,ja
Mighty Morphin Power Rangers: The Movie,5.8,566,en
Promare,7.1,192,ja
Artemis Fowl,5.7,1403,en
Mad Max,6.7,3525,en
Halloween III: Season of the Witch,5.1,1034,en
Kingdom of the Dinosaurs,0,0,en
The Invisible Man,7.1,4716,en
Children of Men,7.6,5964,en
Codename: Kids Next Door - Operation Z.E.R.O.,8.1,138,en
Age of Tomorrow,2.9,56,en
Shanghai Fortress,5.6,89,zh
Iron Sky,5.7,1337,en
Déjà Vu,6.8,3969,en
Justice League: The New Frontier,6.9,419,en
Alien Outpost,5.2,187,en
Criminal,6.1,1467,en
Swan Song,7.3,348,en
Resident Evil: Apocalypse,6.3,3613,en
Happy Death Day 2U,6.3,2842,en
Transformers: Dark of the Moon,6.1,7115,en
Planet 51,5.8,1731,en
Oxygen,6.6,1079,fr
Fahrenheit 451,5.4,707,en
Doom: Annihilation,4.9,322,en
Cube,4.6,32,ja
Blame!,6.4,236,ja
Bleeding Steel,5.9,399,zh
District B13,6.7,1538,fr
Teen Titans Go! To the Movies,7.4,954,en
Return of the Living Dead III,6.6,670,en
Gantz: Perfect Answer,6.7,165,ja
Blood-C: The Last Dark,7.3,96,ja
The League of Extraordinary Gentlemen,5.9,3454,en
Justice League vs. Teen Titans,7.4,726,en
The Circle,5.5,3947,en
Wonder Woman: Bloodlines,7.1,391,en
Star Wars: The Clone Wars,6.1,1638,en
The Girl Who Leapt Through Time,7.8,1641,ja
Fantastic Planet,7.7,693,fr
Echo Torch,6.6,11,en
Boss Level,6.9,1187,en
Extinction,6,1524,en
Species III,5.3,326,en
Transcendence,6,4812,en
Return of the Jedi,7.9,13185,en
Blast from the Past,6.7,843,en
Close Encounters of the Third Kind,7.4,3460,en
Deep Impact,6.2,2469,en
Mazinger Z: Infinity,6.7,251,ja
A Cure for Wellness,6.3,3319,en
The Host,6.3,3609,en
Austin Powers: International Man of Mystery,6.5,2781,en
Ben 10: Race Against Time,5.8,252,en
Stargate,7,2745,en
The Empire Strikes Back,8.4,14526,en
Ant-Man and the Wasp: Quantumania,0,0,en
Austin Powers in Goldmember,6,2621,en
Teen Titans: The Judas Contract,7.4,565,en
Gravity,7.2,13586,en
Pokémon: The Rise of Darkrai,6.9,210,ja
The World's End,6.8,4578,en
Psycho-Pass: The Movie,7.1,173,ja
RoboCop 2,5.9,1463,en
Regular Show: The Movie,7.9,282,en
In the Shadow of the Moon,6.2,1118,en
The Avengers,4.4,585,en
The Cloverfield Paradox,5.6,2750,en
Patema Inverted,7.4,310,ja
Robot Overlords,4.8,219,en
Species: The Awakening,4.8,185,en
Gurren Lagann the Movie: The Lights in the Sky Are Stars,8,63,ja
Self/less,6.4,2693,en
Superman IV: The Quest for Peace,4.6,998,en
Resident Evil: Degeneration,6.8,836,en
Captive State,5.6,950,en
Vesper,6.6,29,en
The Abyss,7.3,2304,en
Judge Dredd,5.8,1989,en
The One,6.1,1276,en
Dark Skies,6.3,1520,en
Alien Outbreak,3.9,23,en
Brian and Charles,6.7,24,en
Gantz:O,7.3,563,ja
Level 16,6.8,469,en
Meg 2: The Trench,0,0,en
"Batman: The Dark Knight Returns, Part 2",8,1176,en
Colossal,6.3,1741,en
A.I. Rising,5.1,225,en
The Legend of the Galactic Heroes: Die Neue These Seiran 1,7.9,17,ja
Austin Powers: The Spy Who Shagged Me,6.2,2774,en
Mars Attacks!,6.4,4624,en
Charlie's Angels,6.6,2510,en
Reminiscence,6.8,1300,en
Singularity,3.7,163,en
Tremors 2: Aftershocks,6.2,741,en
Cloud Atlas,6.9,6245,en
Mr. Nobody,7.8,5208,en
Next,6,2486,en
Godzilla vs. Kong 2,0,0,en
Books of Blood,6.6,275,en
The Car: Road to Revenge,6.6,86,en
24 Hours to Live,5.9,538,en
Battle Angel,6.8,156,ja
Powder,6.9,482,en
Moontrap: Target Earth,4.5,51,en
Atlantis: Milo's Return,6.3,2783,en
Alien Abduction,5.7,298,en
Yu-Gi-Oh! The Movie,6,267,en
The Discovery,6.3,1115,en
Minority Report,7.3,7288,en
Star Trek: The Motion Picture,6.5,1371,en
Star Trek: First Contact,7.3,1433,en
Settlers,4.8,74,en
Kin,6.2,693,en
Starship Troopers: Invasion,5.9,316,en
Night Feeders,3.6,8,en
Death Race 2050,4.2,147,en
The Last Sharknado: It's About Time,4.6,200,en
Status Update,7.4,439,en
Splice,5.8,1811,en
The X Files: I Want to Believe,5.7,1234,en
Doraemon: Nobita and the Galaxy Super-express,7.9,36,ja
Attraction,6.6,652,ru
The Invincible Iron Man,6.1,186,en
Gattaca,7.6,5256,en
Bliss,5.6,496,en
