Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Deadpool 2,785896609.0,324591735.0,41.3,461304874.0,58.7,2018
Deadpool,782836791.0,363070709.0,46.4,419766082.0,53.6,2016
Star Wars,775398007.0,460998507.0,59.4,314399500.0,40.6,1977
No Time to Die,774153007.0,160891007.0,20.8,613262000.0,79.2,2021
Guardians of the Galaxy,773350147.0,333718600.0,43.2,439631547.0,56.8,2014
The Batman,770836163.0,369345583.0,47.9,401490580.0,52.1,2022
The Da Vinci Code,760006945.0,217536138.0,28.6,542470807.0,71.4,2006
Fast & Furious Presents: Hobbs & Shaw,759056935.0,173956935.0,22.9,585100000.0,77.1,2019
Maleficent,758411779.0,241410378.0,31.8,517001401.0,68.2,2014
The Amazing Spider-Man,757930663.0,262030663.0,34.6,495900000.0,65.4,2012
The Hunger Games: Mockingjay - Part 1,755356711.0,337135885.0,44.6,418220826.0,55.4,2014
Shrek Forever After,752600867.0,238736787.0,31.7,513864080.0,68.3,2010
Thor: Love and Thunder,751035321.0,340676296.0,45.4,410359025.0,54.6,2022
Madagascar 3: Europe's Most Wanted,746921274.0,216391482.0,29.0,530529792.0,71.0,2012
Suicide Squad,746846894.0,325100054.0,43.5,421746840.0,56.5,2016
X-Men: Days of Future Past,746045700.0,233921534.0,31.4,512124166.0,68.6,2014
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115.0,291710957.0,39.2,453302158.0,60.8,2005
Monsters University,743559645.0,268492764.0,36.1,475066881.0,63.9,2013
The Matrix Reloaded,741847937.0,281576461.0,38.0,460271476.0,62.0,2003
Up,735099102.0,293004164.0,39.9,442094938.0,60.1,2009
Ne Zha,726264074.0,3695533.0,0.5,722568541.0,99.5,2019
F9: The Fast Saga,726229501.0,173005945.0,23.8,553223556.0,76.2,2021
Gravity,723192705.0,274092705.0,37.9,449100000.0,62.1,2013
Captain America: The Winter Soldier,714421503.0,259766572.0,36.4,454654931.0,63.6,2014
The Twilight Saga: Breaking Dawn - Part 1,712205856.0,281287133.0,39.5,430918723.0,60.5,2011
The Twilight Saga: New Moon,711025481.0,297816253.0,41.9,413209228.0,58.1,2009
Dawn of the Planet of the Apes,710644566.0,208545589.0,29.4,502098977.0,70.6,2014
Transformers,709709780.0,319246193.0,45.0,390463587.0,55.0,2007
The Amazing Spider-Man 2,708982323.0,202853933.0,28.6,506128390.0,71.4,2014
It,701842551.0,328874981.0,46.9,372967570.0,53.1,2017
Interstellar,701729206.0,188020017.0,26.8,513709189.0,73.2,2014
The Wandering Earth,699992512.0,5971413.0,0.8,694021099.0,99.2,2019
The Twilight Saga: Eclipse,698491347.0,300531751.0,43.0,397959596.0,57.0,2010
Mission: Impossible - Ghost Protocol,694713380.0,209397903.0,30.1,485315477.0,69.9,2011
The Hunger Games,694394724.0,408010692.0,58.8,286384032.0,41.2,2012
Mission: Impossible - Rogue Nation,682716636.0,195042377.0,28.6,487674259.0,71.4,2015
Forrest Gump,678226465.0,330455270.0,48.7,347771195.0,51.3,1994
Doctor Strange,677796076.0,232641920.0,34.3,445154156.0,65.7,2016
The Sixth Sense,672806432.0,293506292.0,43.6,379300140.0,56.4,1999
Man of Steel,668045518.0,291045518.0,43.6,377000000.0,56.4,2013
Ice Age: The Meltdown,667094506.0,195330621.0,29.3,471763885.0,70.7,2006
Kung Fu Panda 2,665692281.0,165249063.0,24.8,500443218.0,75.2,2011
Justice League,657926987.0,229024295.0,34.8,428902692.0,65.2,2017
Big Hero 6,657869686.0,222527828.0,33.8,435341858.0,66.2,2014
Fantastic Beasts: The Crimes of Grindelwald,654855901.0,159555901.0,24.4,495300000.0,75.6,2018
Pirates of the Caribbean: The Curse of the Black Pearl,654264015.0,305413918.0,46.7,348850097.0,53.3,2003
Star Wars: Episode II - Attack of the Clones,653779970.0,310676740.0,47.5,343103230.0,52.5,2002
The Hunger Games: Mockingjay - Part 2,653428261.0,281723902.0,43.1,371704359.0,56.9,2015
Thor: The Dark World,644783140.0,206362140.0,32.0,438421000.0,68.0,2013
Moana,643355082.0,248757044.0,38.7,394598038.0,61.3,2016
